image_path,label,caption
CONFIRE/image1.jpg,no fire,"The image shows a cozy living room with a fireplace, a potted plant, a lamp, and a painting on the wall. The room appears to be well-lit and decorated."
CONFIRE/image2.jpg,no fire,"The image shows a neatly arranged bedroom with a large bed covered in a blue and white checkered comforter. The room features a wooden desk with a lamp, a chair, and a few framed pictures on the wall. There is also a nightstand with a lamp and a small clock. The walls are painted in a light color, and the overall lighting is warm."
CONFIRE/image3.jpg,no fire,"The image shows a dining area with a wooden table and four chairs. On the table, there is a bowl containing pine cones. The room appears to be a living space with a carpeted floor."
CONFIRE/image4.jpg,no fire,"The image shows a modern office space with large windows, a long wooden table with red chairs, and a television mounted on the wall. The room has a minimalist design with concrete walls and a polished floor. There are no visible signs of fire or smoke."
CONFIRE/image5.jpg,no fire,The image shows a hospital room with a patient's bed covered in white sheets. There is a tray with food and a bottle on the bedside table. A chair with a pillow and a blanket is visible next to the bed. The room has a window with green curtains and a flower arrangement on the windowsill. There is also a medical device hanging on the wall.
CONFIRE/image6.jpg,no fire,"The image shows a cozy dining area with a round table set for a meal. The table is adorned with a colorful place mat, a woven basket containing pineapples, a pitcher, and a plate with bread and pickles. There are two chairs with patterned cushions, and a lamp with a black shade is visible on a side table. The room has a warm, inviting atmosphere with a window, curtains, and a decorative mirror."
CONFIRE/image7.jpg,no fire,"The image shows a bedroom with a bed covered in a yellow blanket and pillows. There is a desk with a chair next to it, a lamp on the floor, and a painting on the wall. The room has wooden flooring and a window with blinds."
CONFIRE/image8.jpg,no fire,"The image shows an office setting with two computer monitors on a desk, a chair, and various items such as papers, a printer, and a telephone. The walls are adorned with numerous patches or badges."
CONFIRE/image9.jpg,no fire,"The image shows a cozy bedroom with a four-poster bed covered in a floral-patterned bedspread. The room has pink walls, a white radiator, and a window with a view of greenery outside. There is a framed picture on the wall and a mirror above a wooden dresser. The ceiling has a decorative pattern, and there are two lamps on either side of the bed."
CONFIRE/image10.jpg,no fire,"The image shows a modern office space with large windows, a desk with a laptop, a chair, and a sofa with pillows. The room has a clean and organized appearance."
CONFIRE/image11.jpg,no fire,"The image depicts a cozy room with light blue walls, wooden floors, and large windows covered by white curtains. There is a red armchair, a wooden dresser with a mirror, and a bed with a red headboard. The room has a warm and inviting atmosphere."
CONFIRE/image12.jpg,no fire,"The image shows a hospital room with a patient bed covered in a white sheet with blue and pink trim. There is a curtain on one side of the bed, a desk with medical equipment, and a cabinet with drawers. The room has a wooden floor and a door with a sign on it."
CONFIRE/image13.jpg,no fire,"The image shows a bedroom with a wooden bed frame, a mattress, and a window with sheer curtains. The room has light-colored walls and hardwood flooring."
CONFIRE/image14.jpg,no fire,"The image shows a spacious, well-lit room with traditional Chinese decor. The room features a long wooden table with chairs, a large vase with blue and white patterns, and a potted plant. The walls are adorned with framed pictures and shelves filled with books and decorative items. The ceiling has intricate wooden carvings and a hanging light fixture."
CONFIRE/image15.jpg,no fire,The image shows a neatly made bed with white bedding and a patterned throw blanket. The room has a dark wooden headboard and a framed picture above it. There is a lamp with a white shade on the bedside table next to the bed. A door leads into another room where a desk and chair are visible.
CONFIRE/image16.jpg,no fire,"The image shows an office setting with a desk containing various items such as a computer monitor, printer, and some papers. There is also a chair and a filing cabinet in the background."
CONFIRE/image17.jpg,no fire,"The image shows a rustic room with wooden walls and a ceiling. There is a rocking horse in the foreground, a white trunk, and various items on shelves. The room appears to be well-organized and clean."
CONFIRE/image18.jpg,no fire,"The image shows a hotel room with a double bed covered in a green and blue patterned blanket. There is a wooden headboard, two purple armchairs, a small wooden table with a lamp and a book, and a framed picture of a beach scene on the wall. The carpeted floor and the overall decor suggest a standard hotel room."
